scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
early outbreak,long,10,outbreak,1,1,,4000,1.12,710,0.1775,6,2,5e-04,0.5
early outbreak,medium,10,outbreak,2,1,,4000,1.01,1,0.00025,4,119,0.02975,0.6
early outbreak,short,10,outbreak,3,1,,4000,1.01,0,0,4,90,0.0225,0.6
late outbreak,long,10,outbreak,4,1,,4000,1,0,0,3,1091,0.27275,0.6
late outbreak,medium,10,outbreak,5,1,,4000,1,0,0,3,1038,0.2595,0.5
late outbreak,short,10,outbreak,6,1,,4000,1,0,0,3,620,0.155,0.6
near peak,long,10,outbreak,7,1,,4000,1,0,0,3,1153,0.28825,0.5
near peak,medium,10,outbreak,8,1,,4000,1,0,0,3,1000,0.25,0.5
near peak,short,10,outbreak,9,1,,4000,1,0,0,3,984,0.246,0.6
past peak,long,10,outbreak,10,1,,4000,1,0,0,4,2,5e-04,0.6
past peak,medium,10,outbreak,11,1,,4000,1,0,0,3,829,0.20725,0.5
past peak,short,10,outbreak,12,1,,4000,1,0,0,4,1,0.00025,0.5
early outbreak,long,100,outbreak,13,1,,4000,1,0,0,3,705,0.17625,0.6
early outbreak,medium,100,outbreak,14,1,,4000,1,0,0,3,644,0.161,0.5
early outbreak,short,100,outbreak,15,1,,4000,1,0,0,3,1116,0.279,0.6
late outbreak,long,100,outbreak,16,1,,4000,1,0,0,3,228,0.057,0.5
late outbreak,medium,100,outbreak,17,1,,4000,1,0,0,3,482,0.1205,0.6
late outbreak,short,100,outbreak,18,1,,4000,1,0,0,3,893,0.22325,0.6
near peak,long,100,outbreak,19,1,,4000,1,0,0,3,661,0.16525,0.5
near peak,medium,100,outbreak,20,1,,4000,1,0,0,3,613,0.15325,0.6
near peak,short,100,outbreak,21,1,,4000,1,0,0,3,1043,0.26075,0.6
past peak,long,100,outbreak,22,1,,4000,1,0,0,3,771,0.19275,0.6
past peak,medium,100,outbreak,23,1,,4000,1,0,0,3,485,0.12125,0.6
past peak,short,100,outbreak,24,1,,4000,1,0,0,3,917,0.22925,0.6
early outbreak,long,200,outbreak,25,1,,4000,1,0,0,3,742,0.1855,0.5
early outbreak,medium,200,outbreak,26,1,,4000,1,0,0,3,355,0.08875,0.6
early outbreak,short,200,outbreak,27,1,,4000,1,0,0,3,732,0.183,0.6
late outbreak,long,200,outbreak,28,1,,4000,1,0,0,3,280,0.07,1
late outbreak,medium,200,outbreak,29,1,,4000,1,0,0,3,981,0.24525,1
late outbreak,short,200,outbreak,30,1,,4000,1,0,0,3,432,0.108,1
near peak,long,200,outbreak,31,1,,4000,1,0,0,3,671,0.16775,1
near peak,medium,200,outbreak,32,1,,4000,1,0,0,3,707,0.17675,1
near peak,short,200,outbreak,33,1,,4000,1,0,0,3,243,0.06075,0.9
past peak,long,200,outbreak,34,1,,4000,1,0,0,3,288,0.072,1
past peak,medium,200,outbreak,35,1,,4000,1,0,0,3,785,0.19625,1
past peak,short,200,outbreak,36,1,,4000,1,0,0,3,794,0.1985,1
early outbreak,long,400,outbreak,37,1,,4000,1,0,0,3,655,0.16375,1
early outbreak,medium,400,outbreak,38,1,,4000,1,0,0,3,363,0.09075,0.9
early outbreak,short,400,outbreak,39,1,,4000,1,0,0,3,655,0.16375,0.6
late outbreak,long,400,outbreak,40,1,,4000,1,0,0,3,616,0.154,1.4
late outbreak,medium,400,outbreak,41,1,,4000,1,0,0,3,692,0.173,1.4
late outbreak,short,400,outbreak,42,1,,4000,1,0,0,3,352,0.088,1.4
near peak,long,400,outbreak,43,1,,4000,1,0,0,3,316,0.079,0.9
near peak,medium,400,outbreak,44,1,,4000,1.01,0,0,3,370,0.0925,1
near peak,short,400,outbreak,45,1,,4000,1,0,0,3,256,0.064,1
past peak,long,400,outbreak,46,1,,4000,1,0,0,3,513,0.12825,1.4
past peak,medium,400,outbreak,47,1,,4000,1,0,0,3,281,0.07025,1.4
past peak,short,400,outbreak,48,1,,4000,1,0,0,3,296,0.074,1.3
decay,long,200,exponential,49,1,,4000,1,0,0,3,455,0.11375,1
decay,long,200,exponential,50,2,,4000,1,0,0,3,203,0.05075,1
decay,long,200,exponential,51,3,,4000,1,0,0,3,964,0.241,1
decay,long,200,exponential,52,4,,4000,1,0,0,3,557,0.13925,1
decay,long,200,exponential,53,5,,4000,1,0,0,3,444,0.111,0.9
decay,long,200,exponential,54,6,,4000,1,0,0,3,686,0.1715,1
decay,long,200,exponential,55,7,,4000,1,0,0,3,407,0.10175,1
decay,long,200,exponential,56,8,,4000,1,0,0,3,859,0.21475,1
decay,long,200,exponential,57,9,,4000,1,0,0,3,437,0.10925,1
decay,long,200,exponential,58,10,,4000,1,0,0,3,442,0.1105,1
decay,long,200,exponential,59,11,,4000,1,0,0,3,420,0.105,1
decay,long,200,exponential,60,12,,4000,1,0,0,3,935,0.23375,1
decay,long,200,exponential,61,13,,4000,1,0,0,3,679,0.16975,1
decay,long,200,exponential,62,14,,4000,1,0,0,3,817,0.20425,1
decay,long,200,exponential,63,15,,4000,1,0,0,3,200,0.05,1
decay,long,200,exponential,64,16,,4000,1,0,0,3,620,0.155,1
decay,long,200,exponential,65,17,,4000,1,0,0,3,690,0.1725,1
decay,long,200,exponential,66,18,,4000,1,0,0,3,353,0.08825,1
decay,long,200,exponential,67,19,,4000,1,0,0,3,607,0.15175,1
decay,long,200,exponential,68,20,,4000,1,0,0,3,858,0.2145,1
decay,medium,200,exponential,69,1,,4000,1,0,0,3,408,0.102,1
decay,medium,200,exponential,70,2,,4000,1,0,0,3,93,0.02325,1
decay,medium,200,exponential,71,3,,4000,1,0,0,3,447,0.11175,1
decay,medium,200,exponential,72,4,,4000,1,0,0,3,866,0.2165,1
decay,medium,200,exponential,73,5,,4000,1,0,0,3,500,0.125,1
decay,medium,200,exponential,74,6,,4000,1,0,0,3,585,0.14625,1
decay,medium,200,exponential,75,7,,4000,1,0,0,3,440,0.11,1
decay,medium,200,exponential,76,8,,4000,1,0,0,3,584,0.146,1
decay,medium,200,exponential,77,9,,4000,1,0,0,3,656,0.164,1
decay,medium,200,exponential,78,10,,4000,1,0,0,3,430,0.1075,1
decay,medium,200,exponential,79,11,,4000,1,0,0,3,338,0.0845,1
decay,medium,200,exponential,80,12,,4000,1,0,0,3,592,0.148,1
decay,medium,200,exponential,81,13,,4000,1,0,0,3,599,0.14975,1
decay,medium,200,exponential,82,14,,4000,1,0,0,3,393,0.09825,0.9
decay,medium,200,exponential,83,15,,4000,1,0,0,3,709,0.17725,1
decay,medium,200,exponential,84,16,,4000,1,0,0,3,576,0.144,1
decay,medium,200,exponential,85,17,,4000,1,0,0,3,417,0.10425,1
decay,medium,200,exponential,86,18,,4000,1,0,0,3,432,0.108,1
decay,medium,200,exponential,87,19,,4000,1,0,0,3,624,0.156,1
decay,medium,200,exponential,88,20,,4000,1,0,0,3,355,0.08875,1
decay,short,200,exponential,89,1,,4000,1,0,0,3,961,0.24025,0.9
decay,short,200,exponential,90,2,,4000,1,0,0,3,566,0.1415,1
decay,short,200,exponential,91,3,,4000,1,0,0,3,819,0.20475,1
decay,short,200,exponential,92,4,,4000,1,0,0,3,462,0.1155,1
decay,short,200,exponential,93,5,,4000,1,0,0,3,622,0.1555,1
decay,short,200,exponential,94,6,,4000,1,0,0,3,1022,0.2555,1
decay,short,200,exponential,95,7,,4000,1,0,0,3,211,0.05275,1
decay,short,200,exponential,96,8,,4000,1,0,0,3,477,0.11925,1
decay,short,200,exponential,97,9,,4000,1,0,0,3,200,0.05,1
decay,short,200,exponential,98,10,,4000,1,0,0,3,553,0.13825,1
decay,short,200,exponential,99,11,,4000,1,0,0,3,706,0.1765,1
decay,short,200,exponential,100,12,,4000,1,0,0,3,523,0.13075,1
decay,short,200,exponential,101,13,,4000,1,0,0,3,698,0.1745,1
decay,short,200,exponential,102,14,,4000,1,0,0,3,406,0.1015,1
decay,short,200,exponential,103,15,,4000,1,0,0,3,153,0.03825,1
decay,short,200,exponential,104,16,,4000,1,0,0,3,842,0.2105,1
decay,short,200,exponential,105,17,,4000,1,0,0,3,808,0.202,1
decay,short,200,exponential,106,18,,4000,1,0,0,3,283,0.07075,1
decay,short,200,exponential,107,19,,4000,1,0,0,3,471,0.11775,1
decay,short,200,exponential,108,20,,4000,1,0,0,3,386,0.0965,1
fast decay,long,200,exponential,109,1,,4000,1,0,0,3,621,0.15525,1
fast decay,long,200,exponential,110,2,,4000,1,0,0,3,541,0.13525,1
fast decay,long,200,exponential,111,3,,4000,1,0,0,3,529,0.13225,1
fast decay,long,200,exponential,112,4,,4000,1,0,0,3,580,0.145,1
fast decay,long,200,exponential,113,5,,4000,1,0,0,3,568,0.142,1
fast decay,long,200,exponential,114,6,,4000,1,0,0,3,880,0.22,1
fast decay,long,200,exponential,115,7,,4000,1,0,0,3,817,0.20425,1
fast decay,long,200,exponential,116,8,,4000,1,0,0,3,370,0.0925,1
fast decay,long,200,exponential,117,9,,4000,1,0,0,3,877,0.21925,1
fast decay,long,200,exponential,118,10,,4000,1,0,0,3,793,0.19825,1
fast decay,long,200,exponential,119,11,,4000,1,0,0,3,371,0.09275,1
fast decay,long,200,exponential,120,12,,4000,1,0,0,3,520,0.13,1
fast decay,long,200,exponential,121,13,,4000,1,0,0,3,828,0.207,1
fast decay,long,200,exponential,122,14,,4000,1,0,0,3,774,0.1935,1
fast decay,long,200,exponential,123,15,,4000,1,0,0,3,779,0.19475,1
fast decay,long,200,exponential,124,16,,4000,1,0,0,3,848,0.212,1
fast decay,long,200,exponential,125,17,,4000,1,0,0,3,580,0.145,1
fast decay,long,200,exponential,126,18,,4000,1,0,0,3,428,0.107,1
fast decay,long,200,exponential,127,19,,4000,1,0,0,3,365,0.09125,1
fast decay,long,200,exponential,128,20,,4000,1,0,0,3,665,0.16625,1
fast decay,medium,200,exponential,129,1,,4000,1,0,0,3,138,0.0345,1
fast decay,medium,200,exponential,130,2,,4000,1,0,0,3,481,0.12025,1
fast decay,medium,200,exponential,131,3,,4000,1,0,0,3,948,0.237,0.9
fast decay,medium,200,exponential,132,4,,4000,1,0,0,3,283,0.07075,1
fast decay,medium,200,exponential,133,5,,4000,1,0,0,3,167,0.04175,0.9
fast decay,medium,200,exponential,134,6,,4000,1,0,0,3,887,0.22175,1
fast decay,medium,200,exponential,135,7,,4000,1,0,0,3,347,0.08675,1
fast decay,medium,200,exponential,136,8,,4000,1,0,0,3,368,0.092,1
fast decay,medium,200,exponential,137,9,,4000,1,0,0,3,450,0.1125,1
fast decay,medium,200,exponential,138,10,,4000,1,0,0,3,362,0.0905,1
fast decay,medium,200,exponential,139,11,,4000,1,0,0,3,836,0.209,1
fast decay,medium,200,exponential,140,12,,4000,1,0,0,3,1005,0.25125,1
fast decay,medium,200,exponential,141,13,,4000,1,0,0,3,494,0.1235,1
fast decay,medium,200,exponential,142,14,,4000,1,0,0,3,359,0.08975,1
fast decay,medium,200,exponential,143,15,,4000,1,0,0,3,347,0.08675,1
fast decay,medium,200,exponential,144,16,,4000,1,0,0,3,288,0.072,1
fast decay,medium,200,exponential,145,17,,4000,1,0,0,3,757,0.18925,1
fast decay,medium,200,exponential,146,18,,4000,1,0,0,3,574,0.1435,1
fast decay,medium,200,exponential,147,19,,4000,1,0,0,3,340,0.085,1
fast decay,medium,200,exponential,148,20,,4000,1,0,0,3,597,0.14925,1
fast decay,short,200,exponential,149,1,,4000,1,0,0,3,714,0.1785,1
fast decay,short,200,exponential,150,2,,4000,1,0,0,3,670,0.1675,1
fast decay,short,200,exponential,151,3,,4000,1,0,0,3,618,0.1545,1
fast decay,short,200,exponential,152,4,,4000,1,0,0,3,397,0.09925,1
fast decay,short,200,exponential,153,5,,4000,1,0,0,3,201,0.05025,1
fast decay,short,200,exponential,154,6,,4000,1,0,0,3,462,0.1155,1
fast decay,short,200,exponential,155,7,,4000,1,0,0,3,657,0.16425,1
fast decay,short,200,exponential,156,8,,4000,1,0,0,3,243,0.06075,1
fast decay,short,200,exponential,157,9,,4000,1,0,0,3,355,0.08875,1
fast decay,short,200,exponential,158,10,,4000,1,0,0,3,407,0.10175,1
fast decay,short,200,exponential,159,11,,4000,1,0,0,3,450,0.1125,1
fast decay,short,200,exponential,160,12,,4000,1,0,0,3,632,0.158,1
fast decay,short,200,exponential,161,13,,4000,1,0,0,3,167,0.04175,1
fast decay,short,200,exponential,162,14,,4000,1,0,0,3,444,0.111,1
fast decay,short,200,exponential,163,15,,4000,1,0,0,3,676,0.169,1
fast decay,short,200,exponential,164,16,,4000,1,0,0,3,659,0.16475,0.9
fast decay,short,200,exponential,165,17,,4000,1,0,0,3,982,0.2455,1
fast decay,short,200,exponential,166,18,,4000,1,0,0,3,211,0.05275,1
fast decay,short,200,exponential,167,19,,4000,1,0,0,3,523,0.13075,1
fast decay,short,200,exponential,168,20,,4000,1,0,0,3,242,0.0605,1
fast growth,long,200,exponential,169,1,,4000,1,0,0,3,830,0.2075,0.6
fast growth,long,200,exponential,170,2,,4000,1,0,0,3,518,0.1295,0.6
fast growth,long,200,exponential,171,3,,4000,1,0,0,3,788,0.197,0.6
fast growth,long,200,exponential,172,4,,4000,1,0,0,3,640,0.16,0.6
fast growth,long,200,exponential,173,5,,4000,1,0,0,3,814,0.2035,0.6
fast growth,long,200,exponential,174,6,,4000,1,0,0,3,308,0.077,0.5
fast growth,long,200,exponential,175,7,,4000,1,0,0,3,743,0.18575,0.6
fast growth,long,200,exponential,176,8,,4000,1,0,0,3,514,0.1285,0.5
fast growth,long,200,exponential,177,9,,4000,1,0,0,3,556,0.139,0.6
fast growth,long,200,exponential,178,10,,4000,1,0,0,3,574,0.1435,0.6
fast growth,long,200,exponential,179,11,,4000,1,0,0,3,194,0.0485,0.5
fast growth,long,200,exponential,180,12,,4000,1,0,0,3,545,0.13625,0.5
fast growth,long,200,exponential,181,13,,4000,1,0,0,3,601,0.15025,0.6
fast growth,long,200,exponential,182,14,,4000,1,0,0,3,569,0.14225,0.6
fast growth,long,200,exponential,183,15,,4000,1,0,0,3,696,0.174,0.5
fast growth,long,200,exponential,184,16,,4000,1,0,0,3,908,0.227,0.6
fast growth,long,200,exponential,185,17,,4000,1,0,0,3,711,0.17775,0.5
fast growth,long,200,exponential,186,18,,4000,1,0,0,3,320,0.08,0.5
fast growth,long,200,exponential,187,19,,4000,1,0,0,3,306,0.0765,0.5
fast growth,long,200,exponential,188,20,,4000,1,0,0,3,277,0.06925,0.5
fast growth,medium,200,exponential,189,1,,4000,1,0,0,3,650,0.1625,0.5
fast growth,medium,200,exponential,190,2,,4000,1,0,0,3,298,0.0745,0.6
fast growth,medium,200,exponential,191,3,,4000,1,0,0,3,648,0.162,0.5
fast growth,medium,200,exponential,192,4,,4000,1,0,0,3,445,0.11125,0.5
fast growth,medium,200,exponential,193,5,,4000,1,0,0,3,715,0.17875,0.6
fast growth,medium,200,exponential,194,6,,4000,1,0,0,3,449,0.11225,0.6
fast growth,medium,200,exponential,195,7,,4000,1,0,0,3,868,0.217,0.6
fast growth,medium,200,exponential,196,8,,4000,1,0,0,3,809,0.20225,0.6
fast growth,medium,200,exponential,197,9,,4000,1,0,0,3,623,0.15575,0.6
fast growth,medium,200,exponential,198,10,,4000,1,0,0,3,651,0.16275,0.5
fast growth,medium,200,exponential,199,11,,4000,1,0,0,3,446,0.1115,0.5
fast growth,medium,200,exponential,200,12,,4000,1,0,0,3,950,0.2375,0.6
fast growth,medium,200,exponential,201,13,,4000,1,0,0,3,291,0.07275,0.6
fast growth,medium,200,exponential,202,14,,4000,1,0,0,3,871,0.21775,0.6
fast growth,medium,200,exponential,203,15,,4000,1,0,0,3,65,0.01625,0.6
fast growth,medium,200,exponential,204,16,,4000,1,0,0,3,334,0.0835,0.6
fast growth,medium,200,exponential,205,17,,4000,1,0,0,3,380,0.095,0.6
fast growth,medium,200,exponential,206,18,,4000,1,0,0,3,568,0.142,0.6
fast growth,medium,200,exponential,207,19,,4000,1,0,0,3,565,0.14125,0.6
fast growth,medium,200,exponential,208,20,,4000,1,0,0,3,725,0.18125,0.5
fast growth,short,200,exponential,209,1,,4000,1,0,0,3,820,0.205,0.6
fast growth,short,200,exponential,210,2,,4000,1,0,0,3,582,0.1455,0.6
fast growth,short,200,exponential,211,3,,4000,1,0,0,3,1038,0.2595,0.5
fast growth,short,200,exponential,212,4,,4000,1,0,0,3,1166,0.2915,0.6
fast growth,short,200,exponential,213,5,,4000,1,0,0,3,694,0.1735,0.6
fast growth,short,200,exponential,214,6,,4000,1,0,0,3,751,0.18775,0.6
fast growth,short,200,exponential,215,7,,4000,1,0,0,3,867,0.21675,0.5
fast growth,short,200,exponential,216,8,,4000,1,0,0,3,294,0.0735,0.5
fast growth,short,200,exponential,217,9,,4000,1,0,0,3,540,0.135,0.5
fast growth,short,200,exponential,218,10,,4000,1,0,0,3,329,0.08225,0.5
fast growth,short,200,exponential,219,11,,4000,1,0,0,3,737,0.18425,0.5
fast growth,short,200,exponential,220,12,,4000,1,0,0,3,624,0.156,0.6
fast growth,short,200,exponential,221,13,,4000,1,0,0,3,806,0.2015,0.6
fast growth,short,200,exponential,222,14,,4000,1,0,0,3,992,0.248,0.5
fast growth,short,200,exponential,223,15,,4000,1,0,0,3,490,0.1225,0.5
fast growth,short,200,exponential,224,16,,4000,1,0,0,3,334,0.0835,0.6
fast growth,short,200,exponential,225,17,,4000,1,0,0,3,459,0.11475,0.6
fast growth,short,200,exponential,226,18,,4000,1,0,0,3,819,0.20475,0.6
fast growth,short,200,exponential,227,19,,4000,1,0,0,3,867,0.21675,0.5
fast growth,short,200,exponential,228,20,,4000,1,0,0,3,310,0.0775,0.6
growth,long,200,exponential,229,1,,4000,1,0,0,3,643,0.16075,0.6
growth,long,200,exponential,230,2,,4000,1,0,0,3,596,0.149,0.7
growth,long,200,exponential,231,3,,4000,1,0,0,3,564,0.141,0.7
growth,long,200,exponential,232,4,,4000,1,0,0,3,293,0.07325,0.7
growth,long,200,exponential,233,5,,4000,1,0,0,3,488,0.122,0.6
growth,long,200,exponential,234,6,,4000,1,0,0,3,604,0.151,0.5
growth,long,200,exponential,235,7,,4000,1,0,0,3,506,0.1265,0.8
growth,long,200,exponential,236,8,,4000,1,0,0,3,619,0.15475,0.6
growth,long,200,exponential,237,9,,4000,1,0,0,3,476,0.119,0.6
growth,long,200,exponential,238,10,,4000,1,0,0,3,827,0.20675,1
growth,long,200,exponential,239,11,,4000,1,0,0,3,879,0.21975,0.7
growth,long,200,exponential,240,12,,4000,1,0,0,3,859,0.21475,0.7
growth,long,200,exponential,241,13,,4000,1,0,0,3,471,0.11775,0.6
growth,long,200,exponential,242,14,,4000,1,0,0,3,525,0.13125,0.8
growth,long,200,exponential,243,15,,4000,1,0,0,3,860,0.215,1
growth,long,200,exponential,244,16,,4000,1,0,0,3,578,0.1445,0.7
growth,long,200,exponential,245,17,,4000,1,0,0,3,801,0.20025,0.7
growth,long,200,exponential,246,18,,4000,1,0,0,3,311,0.07775,0.6
growth,long,200,exponential,247,19,,4000,1,0,0,3,819,0.20475,0.8
growth,long,200,exponential,248,20,,4000,1,0,0,3,713,0.17825,0.8
growth,medium,200,exponential,249,1,,4000,1,0,0,3,323,0.08075,0.6
growth,medium,200,exponential,250,2,,4000,1,0,0,3,1005,0.25125,0.8
growth,medium,200,exponential,251,3,,4000,1,0,0,3,818,0.2045,0.7
growth,medium,200,exponential,252,4,,4000,1,0,0,3,917,0.22925,0.5
growth,medium,200,exponential,253,5,,4000,1,0,0,3,526,0.1315,0.7
growth,medium,200,exponential,254,6,,4000,1,0,0,3,651,0.16275,0.6
growth,medium,200,exponential,255,7,,4000,1,0,0,3,943,0.23575,0.8
growth,medium,200,exponential,256,8,,4000,1,0,0,3,877,0.21925,0.5
growth,medium,200,exponential,257,9,,4000,1,0,0,3,283,0.07075,0.6
