scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
early outbreak,long,10,outbreak,1,1,,4000,1,0,0,4,1,0.00025,0.4
early outbreak,medium,10,outbreak,2,1,,4000,1,0,0,4,100,0.025,0.4
early outbreak,short,10,outbreak,3,1,,4000,1,0,0,4,98,0.0245,0.4
late outbreak,long,10,outbreak,4,1,,4000,1,0,0,4,79,0.01975,0.4
late outbreak,medium,10,outbreak,5,1,,4000,1,0,0,3,1671,0.41775,0.4
late outbreak,short,10,outbreak,6,1,,4000,1,5,0.00125,4,7,0.00175,0.4
near peak,long,10,outbreak,7,1,,4000,1,0,0,4,18,0.0045,0.4
near peak,medium,10,outbreak,8,1,,4000,1,0,0,3,1527,0.38175,0.5
near peak,short,10,outbreak,9,1,,4000,1,0,0,4,157,0.03925,0.4
past peak,long,10,outbreak,10,1,,4000,1,0,0,4,24,0.006,0.4
past peak,medium,10,outbreak,11,1,,4000,1,0,0,4,82,0.0205,0.4
past peak,short,10,outbreak,12,1,,4000,1,0,0,4,2,5e-04,0.4
early outbreak,long,100,outbreak,13,1,,4000,1,0,0,3,1423,0.35575,0.6
early outbreak,medium,100,outbreak,14,1,,4000,1,0,0,3,1520,0.38,0.8
early outbreak,short,100,outbreak,15,1,,4000,1,0,0,3,1567,0.39175,0.8
late outbreak,long,100,outbreak,16,1,,4000,1,0,0,3,1587,0.39675,0.8
late outbreak,medium,100,outbreak,17,1,,4000,1,0,0,3,1519,0.37975,0.7
late outbreak,short,100,outbreak,18,1,,4000,1,0,0,3,1498,0.3745,0.7
near peak,long,100,outbreak,19,1,,4000,1,0,0,3,1559,0.38975,0.7
near peak,medium,100,outbreak,20,1,,4000,1,0,0,3,1697,0.42425,0.8
near peak,short,100,outbreak,21,1,,4000,1,0,0,3,1715,0.42875,0.7
past peak,long,100,outbreak,22,1,,4000,1,0,0,3,1829,0.45725,0.7
past peak,medium,100,outbreak,23,1,,4000,1,0,0,3,1618,0.4045,0.7
past peak,short,100,outbreak,24,1,,4000,1,0,0,3,1628,0.407,0.7
early outbreak,long,200,outbreak,25,1,,4000,1,0,0,3,1426,0.3565,1
early outbreak,medium,200,outbreak,26,1,,4000,1,0,0,3,1520,0.38,1.1
early outbreak,short,200,outbreak,27,1,,4000,1,0,0,3,1646,0.4115,1.1
late outbreak,long,200,outbreak,28,1,,4000,1,0,0,3,1638,0.4095,1.1
late outbreak,medium,200,outbreak,29,1,,4000,1,0,0,3,1629,0.40725,1.1
late outbreak,short,200,outbreak,30,1,,4000,1,0,0,3,1540,0.385,1.1
near peak,long,200,outbreak,31,1,,4000,1,0,0,3,1487,0.37175,1
near peak,medium,200,outbreak,32,1,,4000,1,0,0,3,1559,0.38975,1
near peak,short,200,outbreak,33,1,,4000,1,0,0,3,1605,0.40125,1.1
past peak,long,200,outbreak,34,1,,4000,1,0,0,3,1575,0.39375,1.1
past peak,medium,200,outbreak,35,1,,4000,1,0,0,3,1646,0.4115,1.1
past peak,short,200,outbreak,36,1,,4000,1,0,0,3,1488,0.372,1.1
early outbreak,long,400,outbreak,37,1,,4000,1,0,0,3,1482,0.3705,1.7
early outbreak,medium,400,outbreak,38,1,,4000,1,0,0,3,1627,0.40675,1.7
early outbreak,short,400,outbreak,39,1,,4000,1,0,0,3,1404,0.351,1.7
late outbreak,long,400,outbreak,40,1,,4000,1.01,0,0,3,1616,0.404,1.6
late outbreak,medium,400,outbreak,41,1,,4000,1,0,0,3,1591,0.39775,1.7
late outbreak,short,400,outbreak,42,1,,4000,1,0,0,3,1508,0.377,1.7
near peak,long,400,outbreak,43,1,,4000,1,0,0,3,1650,0.4125,1.7
near peak,medium,400,outbreak,44,1,,4000,1,0,0,3,1528,0.382,1.6
near peak,short,400,outbreak,45,1,,4000,1,0,0,3,1471,0.36775,1.7
past peak,long,400,outbreak,46,1,,4000,1,0,0,3,1435,0.35875,1.6
past peak,medium,400,outbreak,47,1,,4000,1,0,0,3,1578,0.3945,1.7
past peak,short,400,outbreak,48,1,,4000,1,0,0,3,1388,0.347,1.6
decay,long,200,exponential,49,1,,4000,1,0,0,3,1562,0.3905,1
decay,medium,200,exponential,50,1,,4000,1,0,0,3,1521,0.38025,1.1
decay,short,200,exponential,51,1,,4000,1,0,0,3,1480,0.37,1
fast decay,long,200,exponential,52,1,,4000,1,0,0,3,1651,0.41275,1.1
fast decay,medium,200,exponential,53,1,,4000,1,0,0,3,1406,0.3515,1.1
fast decay,short,200,exponential,54,1,,4000,1,0,0,3,1332,0.333,1.1
fast growth,long,200,exponential,55,1,,4000,1,0,0,3,1585,0.39625,1.1
fast growth,medium,200,exponential,56,1,,4000,1,0,0,3,1672,0.418,1.1
fast growth,short,200,exponential,57,1,,4000,1,0,0,3,1296,0.324,1
growth,long,200,exponential,58,1,,4000,1,0,0,3,1659,0.41475,0.9
growth,medium,200,exponential,59,1,,4000,1,0,0,3,1473,0.36825,1.1
growth,short,200,exponential,60,1,,4000,1,0,0,3,1549,0.38725,1
stable,long,200,exponential,61,1,,4000,1,0,0,3,1510,0.3775,1
stable,medium,200,exponential,62,1,,4000,1,0,0,3,1435,0.35875,1.1
stable,short,200,exponential,63,1,,4000,1,0,0,3,1607,0.40175,1.1
120 days,,834,ebola_case_study,64,,real-time,4000,1,0,0,3,1636,0.409,3
120 days,,1032,ebola_case_study,65,,retrospective,4000,1,0,0,3,1508,0.377,3.6
180 days,,3149,ebola_case_study,66,,real-time,4000,1,0,0,3,1447,0.36175,10.4
180 days,,3532,ebola_case_study,67,,retrospective,4000,1,0,0,3,1751,0.43775,11.7
240 days,,2399,ebola_case_study,68,,real-time,4000,1,0,0,3,1456,0.364,7.7
240 days,,2483,ebola_case_study,69,,retrospective,4000,1,0,0,3,1743,0.43575,8.6
60 days,,401,ebola_case_study,70,,real-time,4000,1,0,0,3,1592,0.398,1.6
60 days,,428,ebola_case_study,71,,retrospective,4000,1,0,0,3,1643,0.41075,1.7
